aardsda01,David,Aardsma,David Allan,USA,CO,Denver,1981,12,27,205,75,14.91
aaronha01,Hank,Aaron,Henry Louis,USA,AL,Mobile,1934,2,5,180,72,14.9542
aaronto01,Tommie,Aaron,Tommie Lee,USA,AL,Mobile,1939,8,5,190,75,15.0129
aasedo01,Don,Aase,Donald William,USA,CA,Orange,1954,9,8,190,75,15.1614
abadan01,Andy,Abad,Fausto Andres,USA,FL,Palm Beach,1972,8,25,184,73,15.2522
abadfe01,Fernando,Abad,Fernando Antonio,D.R.,La Romana,La Romana,1985,12,17,220,73,14.5552
abbotgl01,Glenn,Abbott,William Glenn,USA,AR,Little Rock,1951,2,16,200,78,15.0943
abbotje01,Jeff,Abbott,Jeffrey William,USA,GA,Atlanta,1972,8,17,190,74,15.1648
abbotji01,Jim,Abbott,James Anthony,USA,MI,Flint,1967,9,19,200,75,14.9771
abbotku01,Kurt,Abbott,Kurt Thomas,USA,OH,Zanesville,1969,6,2,180,71,15.2147
abbotky01,Kyle,Abbott,Lawrence Kyle,USA,MA,Newburyport,1968,2,18,200,76,15.0433
abbotpa01,Paul,Abbott,Paul David,USA,CA,Van Nuys,1967,9,15,185,75,15.3552
aberal01,Al,Aber,Albert Julius,USA,OH,Cleveland,1927,7,31,195,74,14.5865
abercre01,Reggie,Abercrombie,Reginald Damascus,USA,GA,Columbus,1980,7,15,215,75,14.7224
abernbi01,Bill,Abernathie,William Edward,USA,CA,Torrance,1929,1,30,190,70,14.3888
abernbr01,Brent,Abernathy,Michael Brent,USA,GA,Atlanta,1977,9,23,185,73,15.2308
abernte02,Ted,Abernathy,Theodore Wade,USA,NC,Stanley,1933,3,6,215,76,14.4064
abnersh01,Shawn,Abner,Shawn Wesley,USA,OH,Hamilton,1966,6,17,190,73,15.0808
abregjo01,Johnny,Abrego,Johnny Ray,USA,TX,Corpus Christi,1962,7,4,185,72,15.1222
abreubo01,Bobby,Abreu,Bob Kelly,Venezuela,Aragua,Maracay,1974,3,11,220,72,14.4567
abreujo02,Jose,Abreu,Jose Dariel,Cuba,Cienfuegos,Cienfuegos,1987,1,29,255,75,14.1846
abreuju01,Juan,Abreu,Juan de Dios,D.R.,Duarte,San Francisco de Macoris,1985,4,8,185,72,15.1682
abreuto01,Tony,Abreu,Etanislao Toni,D.R.,Puerto Plata,Puerto Plata,1984,11,13,200,70,14.7398
abreuwi01,Winston,Abreu,Winston Leonardo,D.R.,Sanchez Ramirez,Cotui,1977,4,5,170,74,15.7217
accarje01,Jeremy,Accardo,Jeremiah Lee,USA,AZ,Phoenix,1981,12,18,195,72,14.9448
aceveal01,Alfredo,Aceves,Alfredo,Mexico,Sonora,San Luis Rio Colorado,1982,12,8,205,74,14.8577
acevejo01,Jose,Acevedo,Jose Omar,D.R.,Distrito Nacional,Santo Domingo,1977,12,18,185,72,15.1669
aceveju01,Juan,Acevedo,Juan Carlos,Mexico,Chihuahua,Ciudad Juarez,1970,5,5,245,74,14.1707
achteaj01,A. J.,Achter,Adam Joseph,USA,OH,Toledo,1988,8,27,205,77,15.0203
ackerji01,Jim,Acker,James Justin,USA,TX,Freer,1958,9,24,210,74,14.6479
ackerto01,Tom,Acker,Thomas James,USA,NJ,Paterson,1930,3,7,215,76,14.3603
ackledu01,Dustin,Ackley,Dustin Michael,USA,NC,Winston-Salem,1988,2,26,195,73,15.0072
acklefr01,Fritz,Ackley,Florian Frederick,USA,WI,Hayward,1937,4,10,202,73,14.5148
acostcy01,Cy,Acosta,Cecilio,Mexico,Sinaloa,El Sabino,1946,11,22,165,70,15.4709
acosted01,Ed,Acosta,Eduardo Elixbet,Panama,,Boquete,1944,3,9,215,77,14.6147
acostma01,Manny,Acosta,Manuel Alcides,Panama,Colon,Colon,1981,5,1,215,76,14.7765
acrema01,Mark,Acre,Mark Robert,USA,CA,Concord,1968,9,16,235,80,14.5942
actama99,Manny,Acta,Manuel Elias,D.R.,San Pedro de Macoris,San Pedro de Macoris,1969,1,11,172,74,15.6792
adairje01,Jerry,Adair,Kenneth Jerry,USA,OK,Sand Springs,1936,12,17,175,72,15.1556
adamecr01,Cristhian,Adames,Cristhian Pascual,D.R.,Distrito Nacional,Santo Domingo,1991,7,26,180,72,15.2751
adamsau01,Austin,Adams,Austin David,USA,AL,Montgomery,1986,8,19,190,71,14.9991
adamsbo04,Bob,Adams,Robert Melvin,USA,PA,Pittsburgh,1952,1,6,200,74,14.8156
adamsda02,David,Adams,David Lee,USA,FL,Margate,1987,5,15,205,73,14.8138
adamsdo01,Doug,Adams,Harold Douglas,USA,WI,Blue River,1943,1,27,185,75,15.2133
adamsgl01,Glenn,Adams,Glenn Charles,USA,MA,Northbridge,1947,10,4,180,73,15.2382
adamshe01,Herb,Adams,Herbert Loren,USA,CA,Hollywood,1928,4,14,160,69,15.1716
adamsjo02,Joel,Adamson,Joel Lee,USA,CA,Lakewood,1971,7,2,185,76,15.4269
adamsla01,Lane,Adams,Lane Weston,USA,OK,Talihina,1989,11,13,190,76,15.2767
adamsma01,Matt,Adams,Matthew James,USA,PA,Philipsburg,1988,8,31,260,75,14.1334
adamsmi01,Mike,Adamson,John Michael,USA,CA,San Diego,1947,9,13,185,74,15.1689
adamsmi02,Mike,Adams,Robert Michael,USA,OH,Cincinnati,1948,7,24,180,69,14.8974
adamsmi03,Mike,Adams,Jon Michael,USA,TX,Corpus Christi,1978,7,29,210,77,14.9152
adamsri02,Ricky,Adams,Ricky Lee,USA,CA,Upland,1959,1,21,180,74,15.407
adamsru01,Russ,Adams,Russ Moore,USA,NC,Laurinburg,1980,8,30,205,72,14.7439
adamsry01,Ryan,Adams,Ryan Scott,USA,LA,New Orleans,1987,4,21,185,71,15.1084
adamste01,Terry,Adams,Terry Wayne,USA,AL,Mobile,1973,3,6,180,75,15.499
adamswi02,Willie,Adams,William Edward,USA,NM,Gallup,1972,10,8,215,79,14.9124
adcocjo01,Joe,Adcock,Joseph Wilbur,USA,LA,Coushatta,1927,10,30,210,76,14.4117
adcocna01,Nathan,Adcock,Nathan Masler,USA,KY,Elizabethtown,1988,2,25,235,76,14.4823
adducji01,Jim,Adduci,James David,USA,IL,Chicago,1959,8,9,200,77,15.0718
adducji02,Jim,Adduci,Jim Charles,CAN,BC,Burnaby,1985,5,15,210,74,14.7717
adenhni01,Nick,Adenhart,Nicholas James,USA,MD,Silver Spring,1986,8,24,185,75,15.3431
adkinjo01,Jon,Adkins,Jonathan Scott,USA,WV,Huntington,1977,8,30,200,72,14.8316
adkinst01,Steve,Adkins,Steven Thomas,USA,IL,Chicago,1964,10,26,210,78,14.9296
adlesda01,Dave,Adlesh,David George,USA,CA,Long Beach,1943,7,15,187,72,14.893
adriaeh01,Ehire,Adrianza,Ehire Enrique,Venezuela,Miranda,Guarenas,1989,8,21,170,73,15.5966
afenitr01,Troy,Afenir,Michael Troy,USA,CA,Escondido,1963,9,21,185,76,15.4194
affelje01,Jeremy,Affeldt,Jeremy David,USA,AZ,Phoenix,1979,6,6,225,76,14.6018
agbaybe01,Benny,Agbayani,Benny Peter,USA,HI,Honolulu,1971,12,28,225,72,14.3602
ageeto01,Tommie,Agee,Tommie Lee,USA,AL,Magnolia,1942,8,9,195,71,14.592
agganha01,Harry,Agganis,Harry,USA,MA,Lynn,1929,4,20,200,74,14.5056
agostju01,Juan,Agosto,Juan Roberto,P.R.,,Rio Piedras,1958,2,23,190,74,15.1119
aguaylu01,Luis,Aguayo,Luis,P.R.,,Vega Baja,1959,3,13,173,69,15.2178
aguilch01,Chris,Aguila,Christopher Louis,USA,CA,Redwood City,1979,2,23,200,71,14.7806
aguilje01,Jesus,Aguilar,Jesus Alexander,Venezuela,Aragua,Maracay,1990,6,30,250,75,14.2551
aguilri01,Rick,Aguilera,Richard Warren,USA,CA,San Gabriel,1961,12,31,195,76,15.1384
aguirha01,Hank,Aguirre,Henry John,USA,CA,Azusa,1931,1,31,205,76,14.5891
ahearpa01,Pat,Ahearne,Patrick Howard,USA,CA,San Francisco,1969,12,10,195,75,15.1003
ahmedni01,Nick,Ahmed,Nicholas Mark,USA,MA,Springfield,1990,3,15,205,75,14.919
aikenwi01,Willie,Aikens,Willie Mays,USA,SC,Seneca,1954,10,14,220,75,14.486
aingeda01,Danny,Ainge,Daniel Ray,USA,OR,Eugene,1959,3,17,175,76,15.7369
ainswku01,Kurt,Ainsworth,Kurt Harold,USA,LA,Baton Rouge,1978,9,9,192,75,15.1853
akerfda01,Darrel,Akerfelds,Darrel Wayne,USA,CO,Denver,1962,6,12,210,74,14.6764
akerja01,Jack,Aker,Jackie Delane,USA,CA,Tulare,1940,7,13,190,74,14.9401
albagi01,Gibson,Alba,Gibson Alberto,D.R.,Santiago,Santiago,1960,1,18,160,74,16.1583
